memory.used [MiB], memory.total [MiB], utilization.gpu [%]
10995 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 62 %
20621 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 67 %
20621 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 54 %
20621 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 61 %
20621 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 68 %
20621 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 56 %
20621 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 65 %
20623 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 97 %
10995 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 56 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 67 %
20623 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 52 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 52 %
20621 MiB, 22528 MiB, 100 %
295 MiB, 22528 MiB, 0 %
20621 MiB, 22528 MiB, 100 %
10993 MiB, 22528 MiB, 64 %
20621 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 59 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20623 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 48 %
20623 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 72 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20623 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20621 MiB, 22528 MiB, 97 %
10997 MiB, 22528 MiB, 67 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 54 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20621 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 68 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 71 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20623 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 58 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20621 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 61 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20621 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 66 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 51 %
20623 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 71 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 62 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20621 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 64 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20621 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 64 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 59 %
20621 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 58 %
20623 MiB, 22528 MiB, 97 %
10997 MiB, 22528 MiB, 69 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20623 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 59 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 55 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 56 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 68 %
20623 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 95 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 55 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 56 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 47 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
295 MiB, 22528 MiB, 0 %
20622 MiB, 22528 MiB, 98 %
9 MiB, 22528 MiB, 0 %
20622 MiB, 22528 MiB, 100 %
11135 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 71 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 54 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 71 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 71 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 95 %
11137 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 55 %
20622 MiB, 22528 MiB, 95 %
11137 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 56 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 93 %
11137 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 57 %
20622 MiB, 22528 MiB, 95 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 98 %
11137 MiB, 22528 MiB, 68 %
20621 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20621 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 69 %
20621 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 67 %
20621 MiB, 22528 MiB, 99 %
11137 MiB, 22528 MiB, 66 %
20621 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 70 %
20621 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
11137 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
295 MiB, 22528 MiB, 40 %
20622 MiB, 22528 MiB, 100 %
295 MiB, 22528 MiB, 0 %
20622 MiB, 22528 MiB, 98 %
10993 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10993 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
10993 MiB, 22528 MiB, 59 %
20623 MiB, 22528 MiB, 100 %
10993 MiB, 22528 MiB, 62 %
20623 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 62 %
20623 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 61 %
20623 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20623 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 66 %
20623 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 97 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 98 %
10995 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 71 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 95 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 96 %
10995 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 53 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 95 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 94 %
10995 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 67 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 58 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 99 %
10995 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10995 MiB, 22528 MiB, 59 %
20622 MiB, 22528 MiB, 100 %
295 MiB, 22528 MiB, 0 %
20622 MiB, 22528 MiB, 100 %
295 MiB, 22528 MiB, 0 %
20622 MiB, 22528 MiB, 100 %
10993 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 52 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 68 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 65 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 62 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 60 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 99 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 63 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 69 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 98 %
10997 MiB, 22528 MiB, 56 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 64 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 61 %
20622 MiB, 22528 MiB, 95 %
10997 MiB, 22528 MiB, 70 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 100 %
10997 MiB, 22528 MiB, 66 %
20622 MiB, 22528 MiB, 98 %
